,Area Code (FAO),Area,Months Code,Months,Year Code,Year,Value
9472,9,Argentina,7005,May,2013,2013,0.269
9473,9,Argentina,7005,May,2014,2014,0.348
9474,9,Argentina,7005,May,2015,2015,1.605
9475,9,Argentina,7005,May,2016,2016,-1.147
9476,9,Argentina,7005,May,2017,2017,0.636
9477,9,Argentina,7005,May,2018,2018,1.288
9478,9,Argentina,7005,May,2019,2019,0.622
9479,9,Argentina,7005,May,2020,2020,0.741
9480,9,Argentina,7006,June,1961,1961,-0.785
9481,9,Argentina,7006,June,1962,1962,-0.238
9482,9,Argentina,7006,June,1963,1963,0.648
9483,9,Argentina,7006,June,1964,1964,-1.767
9484,9,Argentina,7006,June,1965,1965,3.18
9485,9,Argentina,7006,June,1966,1966,1.301
9486,9,Argentina,7006,June,1967,1967,-2.595
9487,9,Argentina,7006,June,1968,1968,0.717
9488,9,Argentina,7006,June,1969,1969,0.284
9489,9,Argentina,7006,June,1970,1970,-0.116
9490,9,Argentina,7006,June,1971,1971,-2.237
9491,9,Argentina,7006,June,1972,1972,0.955
9492,9,Argentina,7006,June,1973,1973,0.866
9493,9,Argentina,7006,June,1974,1974,-0.417
9494,9,Argentina,7006,June,1975,1975,1.875
9495,9,Argentina,7006,June,1976,1976,-0.599
9496,9,Argentina,7006,June,1977,1977,1.02
9497,9,Argentina,7006,June,1978,1978,0.015
9498,9,Argentina,7006,June,1979,1979,0.149
9499,9,Argentina,7006,June,1980,1980,-0.242
9500,9,Argentina,7006,June,1981,1981,-0.269
9501,9,Argentina,7006,June,1982,1982,-0.355
9502,9,Argentina,7006,June,1983,1983,-1.813
9503,9,Argentina,7006,June,1984,1984,-2.42
9504,9,Argentina,7006,June,1985,1985,1.335
9505,9,Argentina,7006,June,1986,1986,1.273
9506,9,Argentina,7006,June,1987,1987,0.951
9507,9,Argentina,7006,June,1988,1988,-0.396
9508,9,Argentina,7006,June,1989,1989,1.368
9509,9,Argentina,7006,June,1990,1990,-0.021
9510,9,Argentina,7006,June,1991,1991,0.192
9511,9,Argentina,7006,June,1992,1992,0.7
9512,9,Argentina,7006,June,1993,1993,0.086
9513,9,Argentina,7006,June,1994,1994,1.71
9514,9,Argentina,7006,June,1995,1995,0.266
9515,9,Argentina,7006,June,1996,1996,-0.945
9516,9,Argentina,7006,June,1997,1997,0.861
9517,9,Argentina,7006,June,1998,1998,1.109
9518,9,Argentina,7006,June,1999,1999,-0.347
9519,9,Argentina,7006,June,2000,2000,0.494
9520,9,Argentina,7006,June,2001,2001,0.765
9521,9,Argentina,7006,June,2002,2002,-1.333
9522,9,Argentina,7006,June,2003,2003,2.04
9523,9,Argentina,7006,June,2004,2004,1.328
9524,9,Argentina,7006,June,2005,2005,1.029
9525,9,Argentina,7006,June,2006,2006,1.253
9526,9,Argentina,7006,June,2007,2007,-0.42
9527,9,Argentina,7006,June,2008,2008,-0.759
9528,9,Argentina,7006,June,2009,2009,0.042
9529,9,Argentina,7006,June,2010,2010,0.55
9530,9,Argentina,7006,June,2011,2011,0.039
9531,9,Argentina,7006,June,2012,2012,0.262
9532,9,Argentina,7006,June,2013,2013,1.276
9533,9,Argentina,7006,June,2014,2014,0.744
9534,9,Argentina,7006,June,2015,2015,2.029
9535,9,Argentina,7006,June,2016,2016,-0.629
9536,9,Argentina,7006,June,2017,2017,1.014
9537,9,Argentina,7006,June,2018,2018,-0.623
9538,9,Argentina,7006,June,2019,2019,1.742
9539,9,Argentina,7006,June,2020,2020,0.957
9540,9,Argentina,7007,July,1961,1961,-0.336
9541,9,Argentina,7007,July,1962,1962,-2.317
9542,9,Argentina,7007,July,1963,1963,1.481
9543,9,Argentina,7007,July,1964,1964,-0.712
9544,9,Argentina,7007,July,1965,1965,-0.96
9545,9,Argentina,7007,July,1966,1966,-0.015
9546,9,Argentina,7007,July,1967,1967,-0.174
9547,9,Argentina,7007,July,1968,1968,2.103
9548,9,Argentina,7007,July,1969,1969,0.948
9549,9,Argentina,7007,July,1970,1970,0.305
9550,9,Argentina,7007,July,1971,1971,1.261
9551,9,Argentina,7007,July,1972,1972,-0.442
9552,9,Argentina,7007,July,1973,1973,-1.742
9553,9,Argentina,7007,July,1974,1974,0.81
9554,9,Argentina,7007,July,1975,1975,-1.028
9555,9,Argentina,7007,July,1976,1976,-0.259
9556,9,Argentina,7007,July,1977,1977,0.345
9557,9,Argentina,7007,July,1978,1978,1.923
9558,9,Argentina,7007,July,1979,1979,1.293
9559,9,Argentina,7007,July,1980,1980,-0.519
9560,9,Argentina,7007,July,1981,1981,0.262
9561,9,Argentina,7007,July,1982,1982,-0.196
9562,9,Argentina,7007,July,1983,1983,-1.004
9563,9,Argentina,7007,July,1984,1984,-1.088
9564,9,Argentina,7007,July,1985,1985,0.304
9565,9,Argentina,7007,July,1986,1986,1.016
9566,9,Argentina,7007,July,1987,1987,1.459
9567,9,Argentina,7007,July,1988,1988,-1.619
9568,9,Argentina,7007,July,1989,1989,-0.234
9569,9,Argentina,7007,July,1990,1990,-0.375
9570,9,Argentina,7007,July,1991,1991,-0.388
9571,9,Argentina,7007,July,1992,1992,-2.536
9572,9,Argentina,7007,July,1993,1993,-1.157
9573,9,Argentina,7007,July,1994,1994,-0.228
9574,9,Argentina,7007,July,1995,1995,-0.624
9575,9,Argentina,7007,July,1996,1996,-0.386
9576,9,Argentina,7007,July,1997,1997,1.945
9577,9,Argentina,7007,July,1998,1998,2.151
