Zip,City,State,Division,Parking,Pets,Food,Lounge
3820,Dover,NH,Northeast,N,N,N,N
49047,Dowagiac,MI,Central,N,Y,N,N
19335,Downingtown,PA,Mid-Atlantic,N,N,N,N
62832,Du Quoin,IL,Central,N,N,N,N
55806,Duluth,MN,Central,N,N,N,N
55812,Duluth,MN,Central,N,N,N,N
14048,Dunkirk,NY,Northeast,N,N,N,N
96025,Dunsmuir,CA,Pacific,N,N,N,N
48429,Durand,MI,Central,N,Y,N,N
27701,Durham,NC,Southern,Y,N,N,N
3824,Durham,NH,Northeast,N,N,N,N
60420,Dwight,IL,Central,N,N,N,N
46311,Dyer,IN,Central,N,N,N,N
93219,Earlimart,CA,Pacific,N,N,N,N
48823,East Lansing,MI,Central,Y,N,N,N
21601,Easton,MD,Mid-Atlantic,N,Y,N,N
54701,Eau Claire,WI,Central,N,N,N,N
98020,Edmonds,WA,Pacific Northwest,Y,Y,N,N
62401,Effingham,IL,Central,N,N,N,N
79901,El Paso,TX,Southwest,Y,Y,N,N
95318,El Portal,CA,Pacific,N,N,N,N
90245,El Segundo,CA,Southwest,N,N,N,N
17022,Elizabethtown,PA,Mid-Atlantic,N,N,N,N
95758,Elk Grove,CA,Pacific,N,N,N,N
46515,Elkhart,IN,Central,N,N,N,N
89801,Elko,NV,Pacific,N,N,N,N
97138,Elsie,OR,Pacific Northwest,N,N,N,N
44035,Elyria,OH,Central,N,N,N,N
94608,Emeryville,CA,Pacific,Y,Y,N,N
98823,Ephrata,WA,Pacific Northwest,N,N,N,N
98823,Ephrata,WA,Pacific Northwest,N,N,N,N
16501,Erie,PA,Northeast,N,N,N,N
49829,Escanaba,MI,Central,N,N,N,N
59916,Essex,MT,Pacific Northwest,N,N,N,N
97401,Eugene,OR,Pacific Northwest,Y,Y,N,N
97402,Eugene,OR,Pacific Northwest,N,N,N,N
95501,Eureka,CA,Pacific,N,N,N,N
98201,Everett,WA,Pacific Northwest,Y,Y,N,N
19341,Exton,PA,Mid-Atlantic,N,N,N,N
58102,Fargo,ND,Central,Y,Y,N,N
28301,Fayetteville,NC,Southern,Y,Y,N,N
93015,Fillmore,CA,Southwest,N,N,N,N
86001,Flagstaff,AZ,Southwest,N,N,N,N
86001,Flagstaff,AZ,Southwest,Y,Y,N,N
48503,Flint,MI,Central,Y,N,N,N
97439,Florence,OR,Pacific Northwest,N,N,N,N
29506,Florence,SC,Southern,Y,N,N,N
54935,Fond du Lac,WI,Central,N,N,N,N
12828,Fort Edward,NY,Northeast,N,N,N,N
76544,Fort Hood,TX,Southwest,N,N,N,N
33312,Fort Lauderdale,FL,Southern,N,N,N,N
52627,Fort Madison,IA,Central,Y,N,N,N
80701,Fort Morgan,CO,Central,N,N,N,N
33906,Fort Myers,FL,Southern,N,N,N,N
76102,Fort Worth,TX,Southwest,Y,Y,N,N
95540,Fortuna,CA,Pacific,N,N,N,N
1702,Framingham,MA,Northeast,N,Y,N,N
80442,Fraser,CO,Central,N,N,N,N
21704,Frederick,MD,Mid-Atlantic,N,Y,N,N
21705,Frederick,MD,Mid-Atlantic,N,Y,N,N
22401,Fredericksburg,VA,Mid-Atlantic,N,N,N,N
14063,Fredonia,NY,Northeast,N,N,N,N
94536,Fremont,CA,Pacific,N,N,N,N
94538,Fremont,CA,Pacific,N,N,N,N
93721,Fresno,CA,Pacific,Y,Y,N,N
80443,Frisco,CO,Central,N,N,N,N
21532,Frostburg,MD,Mid-Atlantic,N,Y,N,N
92832,Fullerton,CA,Southwest,Y,Y,N,N
42041,Fulton,KY,Central,N,N,N,N
32601,Gainesville,FL,Southern,N,N,N,N
30501,Gainesville,GA,Southern,N,N,N,N
76240,Gainesville,TX,Southwest,N,N,N,N
61401,Galesburg,IL,Central,Y,N,N,N
87301,Gallup,NM,Southwest,N,N,N,N
77550,Galveston,TX,Southwest,N,N,N,N
77550,Galveston,TX,Southwest,N,N,N,N
95542,Garberville,CA,Pacific,N,N,N,N
67846,Garden City,KS,Southwest,Y,N,N,N
28054,Gastonia,NC,Southern,N,N,N,N
97301,Gearhart,OR,Pacific Northwest,N,N,N,N
20875,Germantown,MD,MARC,N,Y,N,N
60983,Gilman,IL,Central,N,N,N,N
95020,Gilroy,CA,Pacific,N,N,N,N
59230,Glasgow,MT,Pacific Northwest,N,N,N,N
91204,Glendale,CA,Southwest,N,N,N,N
60025,Glenview,IL,Central,Y,N,N,N
81601,Glenwood Springs,CO,Central,Y,Y,N,N
97525,Gold Hill,OR,Pacific,N,N,N,N
